sa1,pop
1104042,410
1104043,511
1104044,304
1104045,468
1104046,458
1104047,468
1104048,491
1104049,490
1104050,347
1104051,478
1104052,394
1104053,517
1104054,362
1104055,552
1104056,382
1104057,627
1104058,337
1104101,494
1104102,631
1104103,378
1104104,426
1104105,356
1104106,421
1104107,262
1104108,0
1104109,396
1104110,467
1104111,256
1104112,483
1104113,353
1104114,576
1104115,350
1104116,424
1104117,270
1104118,0
1104119,458
1104120,428
1104121,659
1104122,308
1104123,432
1104124,451
1104125,459
1104201,507
1104202,538
1104203,270
1104204,409
1104205,530
1104206,0
1104207,544
1104208,525
1104209,228
1104210,435
1104211,413
1104212,7
1104213,600
1104214,577
1104215,366
1104216,390
1104217,475
1104218,452
1104219,382
1104220,549
1104221,511
1104222,439
1104223,341
1104224,471
1104225,518
1104226,455
1104227,365
1104228,454
1104229,317
1104230,406
1104231,567
1104232,368
1104233,505
1104301,137
1104302,359
1104303,507
1104304,376
1104305,373
1104306,6
1104307,269
1104308,299
1104309,360
1104310,204
1104311,427
1104312,870
1104313,366
1104314,200
1104315,398
1104316,351
1104317,419
1104318,366
1104319,413
1104320,454
1104321,359
1104322,345
1104323,456
1104324,528
1104325,442
1104326,568
1104327,391
1104328,267
1104329,299
1104330,619
1104401,324
1104402,367
1104403,245
1104404,675
1104405,288
1104406,272
1104407,428
1104408,297
1104409,309
1104410,238
1104411,311
1104412,646
1104413,0
1104414,483
1104415,391
1104416,717
1104417,536
1104418,4
1104419,462
1104420,310
1104421,324
1104422,461
1104423,522
1104424,282
1104425,220
1104426,413
1104427,267
1104428,388
1104429,531
1104430,302
1104431,304
1104432,299
1104433,350
1104434,640
1104435,313
1104436,463
1104437,289
1104438,441
1104439,422
1104440,378
1104441,379
1104442,388
1104443,233
1104444,340
1104445,389
1104446,566
1104447,483
1104448,426
1104449,378
1104450,392
1104451,387
1104452,192
1104453,360
1104454,215
1104455,457
1104456,440
1104457,375
1104458,340
1104459,359
1104501,386
1104502,340
1104503,303
1104504,598
1104505,566
1104506,599
1104507,520
1104508,403
1104509,446
1104510,620
1104511,560
1104512,425
1104513,674
1104514,449
1104515,346
1104516,576
1104517,304
1104518,809
1104519,309
1104520,0
1104521,456
1104522,434
1104523,277
1104524,643
